Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,626.000000,743.799988,625.000000,727.750000,725.742249,45270607
2019-10-15,736.000000,747.400024,696.049988,713.150024,711.182495,10530041
2019-10-16,714.000000,721.000000,698.250000,700.650024,698.717041,3476306
2019-10-17,700.099976,733.000000,687.150024,724.299988,722.301697,5032930
2019-10-18,725.000000,789.900024,716.049988,779.150024,777.000427,9733230
2019-10-22,786.950012,866.750000,781.000000,844.700012,842.369568,9346788
2019-10-23,866.000000,909.900024,866.000000,900.299988,897.816162,9023269
2019-10-24,924.950012,953.500000,862.650024,902.049988,899.561279,11871313
2019-10-25,905.000000,916.000000,876.000000,899.049988,896.569580,3849535
2019-10-27,null,null,null,null,null,null
2019-10-29,907.000000,907.400024,878.650024,883.099976,880.663574,2023748
2019-10-30,881.000000,920.000000,880.849976,890.450012,887.993347,3276203
2019-10-31,900.000000,907.700012,877.000000,881.700012,879.267517,1839718
2019-11-01,885.000000,907.950012,883.099976,890.500000,888.043274,1882230
2019-11-04,895.000000,898.000000,880.250000,883.450012,881.012695,839167
2019-11-05,886.700012,907.000000,871.299988,881.500000,879.068054,2038067
2019-11-06,885.000000,895.000000,881.000000,884.299988,881.860352,990090
2019-11-07,889.000000,892.000000,880.099976,881.500000,879.068054,775102
2019-11-08,879.750000,891.000000,872.299988,876.900024,874.480713,948769
2019-11-11,886.000000,943.349976,884.000000,932.900024,930.326294,5501875
2019-11-13,955.000000,980.900024,903.200012,932.049988,929.478577,6174470
2019-11-14,915.000000,947.000000,897.000000,907.299988,904.796814,2867396
2019-11-15,920.000000,939.799988,902.000000,928.200012,925.639221,3194038
2019-11-18,934.099976,937.900024,917.049988,922.150024,919.605896,1144000
2019-11-19,922.750000,924.000000,900.000000,902.549988,900.059937,1104593
2019-11-20,909.000000,917.000000,890.000000,895.700012,893.228882,1264597
2019-11-21,898.000000,906.000000,880.099976,884.799988,882.358948,1297118
2019-11-22,889.000000,889.000000,872.400024,875.900024,873.483459,747673
2019-11-25,879.000000,890.000000,873.099976,882.150024,879.716248,687565
2019-11-26,887.000000,895.000000,875.500000,878.700012,876.275757,794348
2019-11-27,881.099976,891.000000,880.000000,883.250000,880.813232,586626
2019-11-28,884.950012,887.799988,878.099976,882.450012,880.015442,415748
2019-11-29,882.150024,918.700012,878.000000,897.250000,894.774597,1799753
2019-12-02,902.000000,902.849976,878.150024,881.049988,878.619263,466420
2019-12-03,886.000000,889.000000,871.000000,875.000000,872.585999,550857
2019-12-04,872.000000,885.000000,862.299988,874.099976,871.688416,741046
2019-12-05,879.500000,888.900024,872.000000,875.950012,873.533386,526976
2019-12-06,877.000000,878.650024,868.150024,872.349976,869.943237,355371
2019-12-09,876.549988,876.549988,864.150024,867.400024,865.007019,354249
2019-12-10,869.799988,869.799988,855.299988,860.900024,858.524902,394809
2019-12-11,863.900024,869.950012,855.500000,864.650024,862.264526,441041
2019-12-12,865.000000,878.000000,860.099976,869.900024,867.500061,290277
2019-12-13,874.250000,903.400024,870.099976,890.500000,888.043274,1400505
2019-12-16,894.500000,894.500000,882.150024,886.700012,884.253723,356192
2019-12-17,889.000000,898.500000,883.000000,886.750000,884.303589,563331
2019-12-18,886.799988,887.500000,873.299988,875.349976,872.934998,284932
2019-12-19,872.200012,876.000000,866.200012,869.700012,867.300659,302745
2019-12-20,874.000000,874.000000,865.500000,866.849976,864.458435,261200
2019-12-23,868.000000,870.000000,861.000000,864.750000,862.364258,328209
2019-12-24,885.000000,899.799988,875.200012,887.549988,885.101379,2404158
2019-12-26,886.000000,888.000000,874.500000,876.900024,874.480713,392561
2019-12-27,881.950012,885.400024,877.000000,880.599976,878.170471,420523
2019-12-30,885.250000,937.450012,883.299988,926.150024,923.594849,3047571
2019-12-31,932.000000,954.700012,921.299988,933.450012,930.874695,3889180
2020-01-01,941.900024,953.849976,934.799988,944.349976,941.744568,1718655
2020-01-02,944.000000,944.000000,927.049988,930.400024,927.833130,657531
2020-01-03,928.000000,943.500000,927.549988,931.400024,928.830383,868570
2020-01-06,927.000000,927.049988,890.099976,894.450012,891.982300,784734
2020-01-07,897.000000,921.500000,897.000000,907.400024,904.896667,697359
2020-01-08,899.000000,902.599976,886.299988,896.150024,893.677673,554070
2020-01-09,910.349976,920.599976,910.000000,913.650024,911.129333,599400
2020-01-10,912.000000,927.400024,908.650024,917.250000,914.719421,508777
2020-01-13,920.000000,942.799988,916.049988,939.150024,936.559021,782985
2020-01-14,945.000000,983.700012,942.049988,974.150024,971.462463,2897447
2020-01-15,978.000000,996.000000,973.849976,985.400024,982.681396,1712570
2020-01-16,984.799988,1008.349976,984.750000,1003.650024,1000.881042,1521414
2020-01-17,1010.000000,1025.000000,1010.000000,1021.849976,1019.030823,1099347
2020-01-20,1027.199951,1028.199951,988.049988,993.349976,990.609436,887648
2020-01-21,992.400024,994.400024,978.000000,982.750000,980.038696,576489
2020-01-22,990.000000,1006.000000,987.000000,996.849976,994.099792,594103
2020-01-23,998.599976,1000.750000,989.000000,995.500000,992.753479,326740
2020-01-24,1000.000000,1012.599976,992.099976,1002.700012,999.933716,486570
2020-01-27,1001.900024,1017.450012,995.000000,1007.599976,1004.820068,552128
2020-01-28,1013.599976,1059.900024,1010.150024,1048.699951,1045.806763,1302893
2020-01-29,1072.500000,1129.900024,1063.500000,1116.400024,1113.319946,2878180
2020-01-30,1132.800049,1164.000000,1116.050049,1137.150024,1134.012695,3814613
2020-01-31,1152.099976,1235.000000,1146.050049,1210.300049,1206.960938,3326290
2020-02-03,1194.349976,1263.000000,1186.050049,1250.849976,1247.399048,2852658
2020-02-04,1290.000000,1438.000000,1286.000000,1412.650024,1408.752686,6594725
2020-02-05,1457.000000,1547.800049,1441.000000,1508.550049,1504.388184,10960302
2020-02-06,1532.000000,1563.000000,1472.000000,1504.300049,1500.149780,5593623
2020-02-07,1500.000000,1528.000000,1482.000000,1513.500000,1509.324463,2379411
2020-02-10,1523.900024,1538.000000,1466.000000,1480.199951,1476.116211,2990816
2020-02-11,1495.199951,1505.000000,1378.599976,1408.000000,1404.115479,2889010
2020-02-12,1395.000000,1450.000000,1350.000000,1415.250000,1411.345459,5342502
2020-02-13,1583.500000,1609.800049,1515.349976,1580.349976,1575.989990,11381387
2020-02-14,1599.000000,1603.900024,1548.599976,1557.400024,1553.103271,3329548
2020-02-17,1564.900024,1565.000000,1510.000000,1518.650024,1514.460327,1568959
2020-02-18,1515.000000,1648.000000,1485.000000,1638.599976,1634.079224,7586511
2020-02-19,1666.300049,1872.699951,1658.400024,1831.900024,1826.845947,13312044
2020-02-20,1870.000000,1977.000000,1862.050049,1930.050049,1924.725220,12052002
2020-02-24,1900.000000,1989.900024,1812.000000,1923.500000,1920.182983,9857426
2020-02-25,1923.300049,1994.000000,1917.000000,1951.949951,1948.583862,5764224
2020-02-26,1959.000000,1983.699951,1940.000000,1951.650024,1948.284424,3688725
2020-02-27,1967.000000,1970.000000,1888.800049,1909.400024,1906.107300,3475379
2020-02-28,1842.000000,1865.900024,1731.300049,1743.800049,1740.792847,5090258
2020-03-02,1810.000000,1873.699951,1636.449951,1723.250000,1720.278320,4904409
2020-03-03,1770.000000,1809.000000,1686.550049,1739.300049,1736.300659,4315203
2020-03-04,1752.000000,1765.000000,1565.400024,1565.400024,1562.700562,4406093
2020-03-05,1507.000000,1524.949951,1411.099976,1430.849976,1428.382568,7607334
2020-03-06,1359.349976,1359.349976,1359.349976,1359.349976,1357.005737,232008
2020-03-09,1291.400024,1291.400024,1291.400024,1291.400024,1289.173096,135065
2020-03-11,1226.849976,1355.949951,1226.849976,1285.349976,1283.133423,4083924
2020-03-12,1221.099976,1221.099976,1221.099976,1221.099976,1218.994263,135485
2020-03-13,1160.050049,1268.800049,1160.050049,1227.750000,1225.632813,3182947
2020-03-16,1181.099976,1198.000000,1166.400024,1166.400024,1164.388672,1345125
2020-03-17,1152.000000,1178.800049,1108.099976,1108.099976,1106.189087,1797999
2020-03-18,1076.599976,1087.949951,1052.699951,1052.699951,1050.884644,411908
2020-03-19,1000.099976,1033.000000,1000.099976,1000.099976,998.375366,671820
2020-03-20,970.250000,1005.000000,950.099976,951.000000,949.360046,3067933
2020-03-23,903.450012,903.450012,903.450012,903.450012,901.892029,166234
2020-03-24,861.000000,877.950012,858.299988,858.299988,856.819885,269327
